graph name;iteration number;iteration type;runtime;k-augs searched;#k-augs found;#k-augs no conflicts;weight added;weight removed;weight improvement;old matching weight;new matching weight
fl2010.mtx;53;F;0.045891;-1;-1;-1;29685896.000000;27305575.000000;2380321.000000;11368743152.000000;11371123473.000000
fl2010.mtx;54;S;2.666152;3;232;89;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;55;F;0.046208;-1;-1;-1;6562256.000000;6055858.000000;506398.000000;11371123473.000000;11371629871.000000
fl2010.mtx;56;S;2.660996;3;95;33;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;57;F;0.044520;-1;-1;-1;4035676.000000;3873006.000000;162670.000000;11371629871.000000;11371792541.000000
fl2010.mtx;58;S;2.653824;3;12;6;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;59;F;0.044675;-1;-1;-1;871026.000000;838025.000000;33001.000000;11371792541.000000;11371825542.000000
fl2010.mtx;60;S;0.168805;1;4943;2238;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;61;F;0.056947;-1;-1;-1;34674174.000000;15336875.000000;19337299.000000;11371825542.000000;11391162841.000000
fl2010.mtx;62;S;0.157502;1;144;68;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;63;F;0.042523;-1;-1;-1;861369.000000;487610.000000;373759.000000;11391162841.000000;11391536600.000000
fl2010.mtx;64;S;1.741949;2;1270;438;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;65;F;0.048751;-1;-1;-1;23085657.000000;20891705.000000;2193952.000000;11391536600.000000;11393730552.000000
fl2010.mtx;66;S;1.740494;2;48;19;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;67;F;0.044639;-1;-1;-1;867189.000000;810629.000000;56560.000000;11393730552.000000;11393787112.000000
fl2010.mtx;68;S;1.716705;2;2;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;69;F;0.042353;-1;-1;-1;19625.000000;15264.000000;4361.000000;11393787112.000000;11393791473.000000
fl2010.mtx;70;S;2.684576;3;156;69;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;71;F;0.046659;-1;-1;-1;5491521.000000;5160859.000000;330662.000000;11393791473.000000;11394122135.000000
fl2010.mtx;72;S;2.710210;3;28;12;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;73;F;0.045118;-1;-1;-1;957728.000000;894639.000000;63089.000000;11394122135.000000;11394185224.000000
